City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
George Town,5.4112,100.3354,87.8,70,20,5.75,MY,1616068585
Vila,42.0304,-8.1588,55.99,45,19,11.99,PT,1616068618
Butaritari,3.0707,172.7902,81.81,76,52,13.29,KI,1616068618
Mataura,-46.1927,168.8643,52.0,87,25,4.0,NZ,1616068556
Santa Maria do Pará,-1.3503,-47.5756,79.27,87,100,1.45,BR,1616068620
Khatanga,71.9667,102.5,-28.98,88,7,6.93,RU,1616068620
Hobart,-42.8794,147.3294,61.0,77,20,5.75,AU,1616068406
Port Alfred,-33.5906,26.891,77.59,75,58,19.3,ZA,1616068621
Tuktoyaktuk,69.4541,-133.0374,-13.99,97,36,3.69,CA,1616068622
Ushuaia,-54.8,-68.3,50.0,66,75,33.38,AR,1616068356
Carbonia,39.1672,8.5222,59.0,51,75,3.44,IT,1616068645
Selikhino,50.3672,137.4996,21.9,78,100,1.74,RU,1616068646
Albany,42.6001,-73.9662,39.0,74,99,2.51,US,1616068444
Dikson,73.5069,80.5464,-7.82,96,100,8.14,RU,1616068574
Hambantota,6.1241,81.1185,84.2,79,90,9.22,LK,1616068647
Saint George,37.1041,-113.5841,46.4,71,1,2.28,US,1616068648
Tasiilaq,65.6145,-37.6368,39.2,70,75,10.36,GL,1616068599
Arraial do Cabo,-22.9661,-42.0278,80.6,74,40,19.57,BR,1616068444
Lukovetskiy,64.2956,41.9211,24.8,54,40,2.24,RU,1616068650
Asău,46.4333,26.4,39.0,52,100,7.52,RO,1616068651
Alofi,-19.0595,-169.9187,75.2,100,100,2.3,NU,1616068652
Balod,20.73,81.2047,94.46,18,69,7.63,IN,1616068652
Kudahuvadhoo,2.6708,72.8944,82.94,70,65,8.5,MV,1616068655
Busselton,-33.65,115.3333,73.0,79,47,1.99,AU,1616068655
Waipawa,-41.4122,175.5153,53.01,71,5,2.3,NZ,1616068656
Haines Junction,60.7522,-137.5108,28.4,31,46,8.05,CA,1616068657
Thompson,55.7435,-97.8558,24.8,68,1,9.22,CA,1616068657
Carrboro,35.9101,-79.0753,51.01,97,100,6.78,US,1616068399
Castro,-24.7911,-50.0119,65.75,94,98,2.71,BR,1616068658
Vao,-22.6667,167.4833,76.15,77,100,22.88,NC,1616068659
Murashi,59.3999,48.9615,26.58,92,100,5.26,RU,1616068660
Mackay,-21.15,149.2,75.2,94,90,10.36,AU,1616068376
Grindavik,63.8424,-22.4338,46.4,100,90,24.16,IS,1616068661
Morondava,-20.2833,44.2833,85.75,68,58,9.4,MG,1616068662
Hasaki,35.7333,140.8333,53.01,82,75,2.3,JP,1616068663
Nome,64.5011,-165.4064,3.2,72,75,18.41,US,1616068663
Opportunity,47.6499,-117.2399,39.2,75,1,4.38,US,1616068664
Atuona,-9.8,-139.0333,79.68,79,100,10.56,PF,1616068665
Punta Arenas,-53.15,-70.9167,50.0,76,75,16.11,CL,1616068565
Ribeira Grande,38.5167,-28.7,60.8,88,75,16.11,PT,1616068666
Bonavista,48.6499,-53.1147,27.0,86,32,4.61,CA,1616068667
Phulbāni,20.4667,84.2333,89.17,17,74,2.89,IN,1616068667
Tarnowskie Góry,50.4455,18.8615,39.0,60,40,14.97,PL,1616068668
Fort Saint James,54.4333,-124.25,28.94,97,90,2.24,CA,1616068669
Provideniya,64.3833,-173.3,-8.5,87,3,1.48,RU,1616068620
Freeport,40.6576,-73.5832,43.0,81,90,2.71,US,1616068651
Jamestown,42.097,-79.2353,42.01,87,90,4.97,US,1616068671
Charters Towers,-20.1,146.2667,74.5,82,91,8.88,AU,1616068672
Esperance,-33.8667,121.9,78.8,36,0,10.36,AU,1616068673
Bluff,-46.6,168.3333,52.0,87,68,4.0,NZ,1616068568
Gachsaran,30.3586,50.7981,86.0,19,75,7.23,IR,1616068674
Blackwater,-23.5833,148.8833,72.88,88,74,9.17,AU,1616068675
Verkh-Usugli,52.7,115.1667,15.69,84,99,1.14,RU,1616068676
Tiznit Province,29.5833,-9.5,59.27,67,70,4.63,MA,1616068676
Urucará,-2.5364,-57.76,74.73,96,100,1.81,BR,1616068677
Carnarvon,-24.8667,113.6333,84.2,74,0,11.5,AU,1616068678
Bethel,41.3712,-73.414,39.99,93,94,2.33,US,1616068678
Sur,22.5667,59.5289,87.06,36,0,5.5,OM,1616068679
Nago,26.5881,127.9761,71.6,78,75,4.61,JP,1616068680
Belaya Gora,68.5333,146.4167,-30.1,81,71,7.9,RU,1616068680
Rikitea,-23.1203,-134.9692,76.44,84,100,17.36,PF,1616068681
